mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kmer__K,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
383.75089435577394,52.810149993622304,12.10633363723755,2.3675081562434284,4,10,2,50,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8685714285714285,0.8630952380952381,0.8616666666666667,0.8638095238095238,0.8608333333333333,0.8635952380952382,0.0026983660126680214,18,0.894077380952381,0.8936607142857143,0.8939583333333333,0.896547619047619,0.89375,0.8943988095238096,0.001084477417856758
813.7785132408142,59.23086684628401,20.724625635147095,2.2071228890222674,4,10,2,100,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8707142857142857,0.8633333333333333,0.8642857142857143,0.8641666666666666,0.86,0.8644999999999999,0.0034752118648607388,16,0.8941369047619048,0.8944047619047619,0.8946428571428572,0.8954166666666666,0.894375,0.8945952380952381,0.00044087819493191703
1712.8604757785797,40.55569717869017,35.72571496963501,5.69920677430741,4,10,2,200,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8696428571428572,0.8623809523809524,0.8646428571428572,0.8651190476190476,0.8629761904761905,0.8649523809523808,0.0025550625571993117,15,0.8941666666666667,0.8951190476190476,0.8947619047619048,0.8961904761904762,0.8944642857142857,0.8949404761904762,0.0007002591033263254
1371.9924939155578,45.24446201511579,16.391924571990966,5.042074221036398,4,20,2,50,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8753571428571428,0.8686904761904762,0.8698809523809524,0.8704761904761905,0.8695238095238095,0.8707857142857144,0.002357744031081342,9,0.9746130952380953,0.9739880952380953,0.9745238095238096,0.9745535714285715,0.9721428571428572,0.9739642857142856,0.0009380242298481928
3130.9087015151977,80.39687027466239,24.648751640319823,3.1974247706959216,4,20,2,100,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8778571428571429,0.8703571428571428,0.8702380952380953,0.8720238095238095,0.8705952380952381,0.8722142857142858,0.002893224550448827,6,0.9748214285714286,0.9748214285714286,0.9752083333333333,0.9754761904761905,0.9723809523809523,0.9745416666666668,0.0011084221999051991
5362.548916482925,30.553120610978784,6.671944665908813,3.0827285515400003,4,20,2,200,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8775,0.871904761904762,0.8738095238095238,0.871904761904762,0.8723809523809524,0.8735000000000002,0.0021183787066223667,3,0.9760416666666667,0.9757440476190476,0.9755952380952381,0.9756547619047619,0.9733630952380953,0.975279761904762,0.0009705484458357864
1857.957616519928,72.11485399897389,16.187980890274048,5.390243166257929,4,50,2,50,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8754761904761905,0.8714285714285714,0.8702380952380953,0.8713095238095238,0.8691666666666666,0.8715238095238096,0.002139415225165283,7,0.9998214285714285,0.9998214285714285,0.9997619047619047,0.9997916666666666,0.9998809523809524,0.9998154761904761,3.9483628456633855e-05
3973.1383573532103,49.01097548316583,23.699405431747437,4.314768598733454,4,50,2,100,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8751190476190476,0.8730952380952381,0.8730952380952381,0.8728571428571429,0.8710714285714286,0.8730476190476191,0.0012835078068517414,5,0.9999702380952381,1.0,1.0,1.0,1.0,0.9999940476190476,1.1904761904757423e-05
5557.533313035965,28.51233244884141,1.9386245727539062,0.5542963384553664,4,50,2,200,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8786904761904762,0.8728571428571429,0.8758333333333334,0.8732142857142857,0.8720238095238095,0.8745238095238095,0.002442072648563458,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1761.0340680122376,54.173697810769944,13.531935977935792,5.946631043140445,4,100,2,50,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8754761904761905,0.8714285714285714,0.8702380952380953,0.8713095238095238,0.8691666666666666,0.8715238095238096,0.002139415225165283,7,0.9998214285714285,0.9998214285714285,0.9997619047619047,0.9997916666666666,0.9998809523809524,0.9998154761904761,3.9483628456633855e-05
4037.1475752353667,78.63439857077508,29.24905743598938,11.128339653928371,4,100,2,100,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8755952380952381,0.8730952380952381,0.8730952380952381,0.8728571428571429,0.8710714285714286,0.8731428571428571,0.0014416071907829018,4,0.9999702380952381,1.0,1.0,1.0,1.0,0.9999940476190476,1.1904761904757423e-05
5553.425520086288,47.216986975085256,2.0136324882507326,0.9570429335266801,4,100,2,200,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8786904761904762,0.8728571428571429,0.8755952380952381,0.8732142857142857,0.8720238095238095,0.8744761904761905,0.002418278842970416,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
