mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kmer__K,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6.067509555816651,0.4477078286181026,0.8093584537506103,0.08189227010947842,4,0.1,"{'kmer__K': 4, 'model__alpha': 0.1}",0.773452380952381,0.7621428571428571,0.7617857142857143,0.7671428571428571,0.7672619047619048,0.7663571428571428,0.004252916832869152,10,0.7654464285714285,0.7672916666666667,0.7671428571428571,0.7661309523809524,0.7664880952380952,0.7665000000000001,0.0006762177224557835
6.316604328155518,0.08759889820952992,0.8806716918945312,0.021579714507631447,4,0.5,"{'kmer__K': 4, 'model__alpha': 0.5}",0.773452380952381,0.7621428571428571,0.7617857142857143,0.7671428571428571,0.7672619047619048,0.7663571428571428,0.004252916832869152,10,0.7654464285714285,0.7672916666666667,0.7671428571428571,0.7661309523809524,0.7664880952380952,0.7665000000000001,0.0006762177224557835
6.241165971755981,0.024043425555990133,0.8416354179382324,0.044467566943512546,4,1.0,"{'kmer__K': 4, 'model__alpha': 1.0}",0.773452380952381,0.7621428571428571,0.7617857142857143,0.7671428571428571,0.7672619047619048,0.7663571428571428,0.004252916832869152,10,0.7654464285714285,0.7672916666666667,0.7671428571428571,0.7661309523809524,0.7664880952380952,0.7665000000000001,0.0006762177224557835
8.317987108230591,0.14732770251388264,1.0362248420715332,0.04836625836874708,6,0.1,"{'kmer__K': 6, 'model__alpha': 0.1}",0.7967857142857143,0.7903571428571429,0.7863095238095238,0.7926190476190477,0.7934523809523809,0.7919047619047619,0.0034765166187512467,8,0.7925,0.7928869047619047,0.7935714285714286,0.7926190476190477,0.7923809523809524,0.7927916666666667,0.00042441770166609183
8.29485535621643,0.15278956685440853,1.0851641654968263,0.065976792500788,6,0.5,"{'kmer__K': 6, 'model__alpha': 0.5}",0.7970238095238096,0.7903571428571429,0.7863095238095238,0.7925,0.7934523809523809,0.7919285714285714,0.0035398604838182642,7,0.7924404761904762,0.7928273809523809,0.7935714285714286,0.7926190476190477,0.7923809523809524,0.7927678571428571,0.0004308800254965192
8.441961860656738,0.10859307163690227,1.1094382286071778,0.04638794508278814,6,1.0,"{'kmer__K': 6, 'model__alpha': 1.0}",0.7969047619047619,0.7903571428571429,0.7863095238095238,0.7923809523809524,0.7934523809523809,0.7918809523809525,0.0035020240341266783,9,0.7924107142857143,0.792797619047619,0.7935714285714286,0.7926190476190477,0.7923511904761905,0.7927500000000001,0.0004400738187922464
12.773917245864869,0.488196432396858,1.3238755702972411,0.13812035437503095,8,0.1,"{'kmer__K': 8, 'model__alpha': 0.1}",0.8217857142857142,0.8141666666666667,0.8130952380952381,0.8161904761904762,0.8178571428571428,0.8166190476190476,0.0030607974002902277,4,0.8261904761904761,0.8266071428571429,0.8266964285714286,0.8265178571428572,0.825952380952381,0.8263928571428572,0.00027881043877691096
12.798014450073243,0.6400726294842688,1.2543272495269775,0.11201353116283419,8,0.5,"{'kmer__K': 8, 'model__alpha': 0.5}",0.8208333333333333,0.8127380952380953,0.8114285714285714,0.8145238095238095,0.8166666666666667,0.8152380952380952,0.003305152989073138,5,0.8249107142857143,0.825654761904762,0.8256845238095238,0.8255059523809524,0.8247321428571428,0.8252976190476191,0.00039751923469202985
12.994135093688964,0.36959882473345423,1.1014967441558838,0.030034662689678936,8,1.0,"{'kmer__K': 8, 'model__alpha': 1.0}",0.82,0.8117857142857143,0.8105952380952381,0.8135714285714286,0.8157142857142857,0.8143333333333335,0.0033185044305121185,6,0.8240178571428571,0.824672619047619,0.8243154761904762,0.8245833333333333,0.8237797619047619,0.8242738095238096,0.0003365070005976823
25.702346754074096,0.7100576861093978,1.9174534320831298,0.05089078832011949,10,0.1,"{'kmer__K': 10, 'model__alpha': 0.1}",0.8427380952380953,0.8339285714285715,0.835952380952381,0.8360714285714286,0.8389285714285715,0.8375238095238096,0.0030550504633038993,1,0.9471726190476191,0.9475892857142857,0.9456547619047619,0.9467261904761904,0.9465178571428572,0.9467321428571429,0.0006535161308899028
25.800478506088258,0.5575472268524111,1.9244942665100098,0.0458520762099087,10,0.5,"{'kmer__K': 10, 'model__alpha': 0.5}",0.8316666666666667,0.825595238095238,0.8285714285714286,0.8308333333333333,0.8314285714285714,0.8296190476190475,0.002290421739774527,2,0.9319940476190476,0.9316666666666666,0.9302083333333333,0.9311607142857142,0.9313988095238095,0.9312857142857143,0.0006059745996487818
25.881902599334715,0.8152635080465087,1.9015091419219972,0.07502188242969503,10,1.0,"{'kmer__K': 10, 'model__alpha': 1.0}",0.8295238095238096,0.8221428571428572,0.8252380952380952,0.8260714285714286,0.8283333333333334,0.8262619047619048,0.0025683402971736803,3,0.9244940476190476,0.9230952380952381,0.9229761904761905,0.9230357142857143,0.9230059523809524,0.9233214285714286,0.0005876299489611639
