mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kmer__K,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
970.7251385688782,47.61415104812327,15.908901357650757,4.852478161582969,4,10,2,50,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8096732657331401,0.8140994688556253,0.8117656526637695,0.748913568324481,0.6740704973442782,0.7717044905842588,0.0545814648933731,20,0.8407774022211492,0.8401537099629809,0.839288588443586,0.8365926283598906,0.8366529856751972,0.8386930629325609,0.0017553547369002366
2158.393133544922,225.50200999139247,33.53689947128296,10.935282221537323,4,10,2,100,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8092708836310961,0.8139385160148077,0.8112023177209078,0.750684049573475,0.6719781104136489,0.7714147754707872,0.05503056479288636,21,0.8423869306293256,0.8430307419925962,0.8403951392242073,0.8369748913568325,0.8361701271527442,0.8397915660711412,0.0027799623981997414
4500.801603794098,167.8664207489188,52.464913845062256,14.505239350816515,4,10,2,200,"{'kmer__K': 4, 'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.810638982778046,0.81514566232094,0.8132947046515371,0.7534202478673748,0.6723000160952841,0.7729599227426365,0.05539035750208449,18,0.8434733623048447,0.8437550297762756,0.8406768066956382,0.837417511669081,0.8359689361017222,0.8402583293095123,0.0031371201314345392
5348.574376106262,569.4191487679902,19.822567749023438,5.453382460790882,4,20,2,50,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8141799452760341,0.8162723322066634,0.8171575728311604,0.7802993722839208,0.7289554160630936,0.7913729277321744,0.03412787045373966,7,0.9861178174794785,0.9860775792692741,0.9865403186866248,0.9792370835345244,0.9764606470304201,0.9828866892000644,0.004209147592966113
11109.54670996666,577.797719711812,34.97917709350586,7.691123917108651,4,20,2,100,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8145823273780782,0.8190085305005633,0.8196523418638338,0.7835184291002736,0.7402221149203283,0.7953967487526155,0.030657042120771208,4,0.9883107999356189,0.986942700788669,0.9879888942539836,0.9811886367294382,0.9770843392885884,0.9843030741992596,0.004436769501544331
16403.707378530504,145.4984122143704,9.30056095123291,4.761701187698785,4,20,2,200,"{'kmer__K': 4, 'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8182037662964752,0.8192499597617898,0.8195718654434251,0.7881055850635764,0.7448897473040399,0.7980041847738614,0.029133131112019896,1,0.9889948495090939,0.9875663930468372,0.9890954450346049,0.9816916143569934,0.9775269596008369,0.9849750523096732,0.004606658275512629
6730.1194065094,139.29497667830537,19.54386019706726,6.730128569729148,4,50,2,50,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8102366006760019,0.8165137614678899,0.8162723322066634,0.7767584097859327,0.7268630291324641,0.7893288266537903,0.03453143329517456,9,0.9999396426846934,0.9998390471591824,0.9998792853693867,0.9997786898438757,0.9998390471591824,0.9998551424432641,5.3077844673552674e-05
13676.028046894073,369.28559800585646,20.224382829666137,5.006776778979972,4,50,2,100,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8140994688556253,0.8177209077740222,0.8194913890230162,0.783357476259456,0.7386930629325608,0.794672460968936,0.030939749865830157,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16889.19482064247,89.17315580196241,5.385344219207764,1.1324069871638913,4,50,2,200,"{'kmer__K': 4, 'model__max_depth': 50, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8159504265250281,0.8198937711250603,0.8203766296475132,0.7873008208594882,0.7424754546917753,0.797199420569773,0.029988369444617264,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6653.491454744339,325.75873714350894,19.714372205734254,7.989357680069399,4,100,2,50,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 50}",0.8102366006760019,0.8165942378882988,0.8162723322066634,0.7767584097859327,0.7268630291324641,0.7893449219378723,0.03454411701214728,8,0.9999396426846934,0.9998390471591824,0.9998792853693867,0.9997786898438757,0.9998390471591824,0.9998551424432641,5.3077844673552674e-05
13738.811235761643,337.03898328002737,25.540298795700075,12.76631972517208,4,100,2,100,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8139385160148077,0.8190085305005633,0.8194913890230162,0.783357476259456,0.7385321100917431,0.7948656043779173,0.03117366100008243,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16895.976153182983,78.62449931171209,4.174880456924439,1.219968769642108,4,100,2,200,"{'kmer__K': 4, 'model__max_depth': 100, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8157089972638017,0.8190085305005633,0.8203766296475132,0.7873008208594882,0.7427973603734106,0.7970384677289554,0.02970811884568583,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
